questions,answers
Why did 4th Generation programming languages like SuperTalk not catch on?,"I would not call SuperTalk a “4th Generation” Language, but a “different generation” language.

The system that SuperTalk operated within was called “SuperCard”. It was essentially derived directly from Hypercard, and tried to dominate that category with "
"What benefits do you get from thinking of something (tech, etc.) as a medium rather than a tool?","The way I thought about this in the 60s was that one way to define a tool is as something that helps control some of the degrees of freedom in a medium while allowing concentration on selected others.

For example, “paper” can be thought of as a medium (l"
What is the significance of late binding?,"“Late-binding” is an idea about having desired functionality while retaining as much flexibility and safety as possible.

A big one to consider is that “software” itself is a late-binding of how a computer will behave. (Seems to be a pretty good idea, I’d"
"What needs to be done in order to improve Anki to reach the promise of the Dynabook's ""teacher for every learner""?","There’s definitely a way to think of learning as ultimately being able to remember — and every culture has found a lot of things that need to be remembered, are able to get children to eventually remember them, and have some of their behaviors be in accor"
How do I lay out my software architecture before I code if the requirements change every day?,"Here’s an exemplary process from the past that is a good start on how to think about the present, and even more importantly about the future.

A change in federal laws in the mid-80s rendered much of public utility Brooklyn Union Gas’s database and report"
"If a robot can achieve independent evolving thinking like a human being, shall we treat them like a human being instead of a machine?","An interesting dimension and question is “rights and standing”.

Robert Heinlein took up this question in the larger sense in his 1947 short story “Jerry Was A Man” (available online, perhaps not quite legally, at Jerry Was A Man).

Worth reading — as are"
Is software engineering culture based on traditional engineering culture?,My perception is that there are so many flavors of “Software Engineering” today — including many that claim “SE is what we do by definition” — that I can’t answer this question in general. And there is certainly a wide range of approaches that is apparent
"What part of Burroughs Systems did you work on? Did you enjoy it? What did you enjoy most, and why?",I wrote quite a few programs for the Burroughs 220 — a vacuum tube core memory computer of the late 50s — while in the US Air Force in the early 60s. This machine was a bit like the MIX machine that Don Knuth used for his “Art Of Programming” books (Don w
Did ARPA/PARC preemptively try to measure the impact of its research projects?,"I’m not sure I understand the question, but as far as I know, the answer is “no”.

There were sometimes “thresholds” that were agreed to in advance by researchers.

For example, at Parc, Butler Lampson urged at the founding of Parc, and we wound up agreei"
What is it like to be an Apple Fellow?,"This was a point in time between 1984 and 1996, so I can’t speak for earlier or later.

The history of Fellow programs goes back to the President of MIT — Jerome Wiesner — wanting to do something for his “odd duck” genius faculty members who were a bit we"
How might drawing input work on a Dynabook?,"Here’s the original cartoon and cardboard model from 1968.


You can see that one of the features is a stylus (modeled after the original RAND tablet stylus, and also the stylus and tablet we did for the Flex Machine).

In the 1972 paper I wrote for the A"
What are some software architecture mistakes where things were done at the wrong layer or level of abstraction?,"If you knew there was going to be an Internet with many different kinds of computers, “operating systems” etc., and you realize that software “wants to run everywhere”, could you then imagine that traditional theories of “operating systems” and “programmi"
Was the Plato IV system any influence on the Alto and PARC in general?,"I thought I had answered this a few years ago, but can’t find it.

In 1968, ARPA convened its first grad students conference at the U of Illinois, with two students selected from each ARPA project. John Warnock and I were the two from the Utah project. Jo"
What is the best way to learn Lisp in 2020?,"Much of learning language today is “learning libraries”, but what’s really important about Lisp is its approach to computation, representing computations, and meta-reflection.

(Lisp is just the tiniest of universal kernels plus a “library” — so the learn"
Can we use object-oriented methodology for designing heterogeneous complex systems systems?,Here is my answer to what is essentially the same question: Software systems are becoming more complex & highly heterogeneous therefor they require better modeling approaches &implementation using multiple programming languages & technologies.can we use O
I read somewhere that object-oriented programming was coined by Alan Kay circa 1966 or 1967 while he was at grad school. Has anyone influenced/contributed Alan to coin such a term?,"Since the question has been asked, it’s worth reading the detailed history I was asked to write by the ACM in 1992, that became one of the sections of the 2nd History Of Programming Languages conference. The Early History Of Smalltalk

In brief for here, "
Software systems are becoming more complex & highly heterogeneous therefor they require better modeling approaches &implementation using multiple programming languages & technologies.can we use OO methodology for designing such heterogeneous systems?,"I’ll rewrite this question:

What we want to do with software is generally more complex than the combination of our tools and understanding can handle reasonably: what should we do?

We need to think about the best forms for decent solutions, and the best"
How important was William English to the evolution of the personal computer?,"Bill English was one of my oldest friends and colleagues, and the simple answer is “enormously important”.

Doug Engelbart was a great visionary — cosmic in many ways — and Bill — as the codirector of the “Augmenting Human Intellect” project and the chief"
Can you list and explain five (5) ways of interacting with the computer?,"This question sounds like a homework assignment. If so, you could learn quite a bit by trying to answer it by poking around yourself. And, ditto, if it isn’t a homework assignment."
Why do good ideas often not scale?,"This was a favorite utterance of the great systems (both hardware and software) designer Bob Barton. His exact quote was:

“Good ideas don’t often scale”

It was both a cautionary heuristic and a practical observation.

For example, anyone can make a dogh"
"In a talk Alan Kay gave, he said there are several reasons (6 or 7 reasons) why America no longer hires and makes a good use of its smart people and scientists like it used to in WW II and in The Cold War, can he mention them?",I don’t think things are as total as the question implies. But — with regard to funding for computing as an example — I don’t think there is any question that the government funding for “edge” computer science is very far from the same quality and kind as
What was the very first computer science fact you learned that blew your mind?,"My undergrad majors (in the early 60s) were pure math and molecular biology, and I worked my way through college as a “data systems” programmer for the National Center for Atmospheric Research in Boulder, Colo (basically writing sorting and retrieval rout"
"Has the fixed architecture of microprocessors turned out to be a wrong turning, given that many functions can be more easily performed in a programmable gate array which are rather more flexible?","This question preaches to this particular choir, because of the great success at Xerox Parc in the 70s of the various microcoded personal computers done there. And before this, microcode (invented by Maurice Wilkes of EDSAC fame) had also been used in sig"
"If threads were allowed to share the stack memory, what complications will this create? Please make a list and discuss it.","This sounds like a homework assignment, and — if so — I don’t think you should try to get Quorans to do the work for you."
Are there any university math departments headed by a computer scientist?,"Good question (and I don’t know offhand). But there are any number of computer scientists who are deep enough mathematicians to qualify (e.g. Don Knuth, etc)."
Why is it hard to make software compatible for multiple operating systems?,"It actually isn’t very hard if you are willing to put in some extra work and care (and these extras could be considered “hard”, but they are up front prep).

A classic route was to make a virtual machine that is hardware independent by using an implementa"
What did Jon Von Neumann contribute to computers in contrast to Alan Turing?,"Alan Turing in the mid 30s explored computability*, which was triggered by interest in Goedel’s demonstration that most interesting systems of logic were not completely decidable.

Turing did this by inventing a thought experiment that could do the simple"
What are old technology systems referred to?,"Normal (“Technology” is all that stuff that happened *after* you were born …)
More"
Why do people often attribute inventions with only a single genius?,"Joseph Campbell’s book “The Hero With A Thousand Faces” provides part of an answer. In this view, humans are not only genetically wired for language and stories, but we might even have some story tropes partly built in. In any case, cultures can preserve "
What term describes an instance of a program being executed?,In antediluvian times it was called a “process”. I think terms have gotten mixed together and less clear these days …
Which book has provided you the most tangible benefits in your life as a computer scientist?,"Most of the writings that got me going early on (starting early in the 60s) were papers.

People who read a lot can never come up with “a single book” for anything.

I’ll just stick to the 60s. Books whose ideas and perspectives had a huge influence on me"
Are there necessary compromises between making a computer a consumer convenience along with being a tool for augmenting intellect?,"One way for you to answer your question is to consider the technologies of reading/writing and their extension into the mass world via printing. If you start with the larger world of “augmenting intellect” via reading and writing and printing, it is very "
How did people at PARC think about AI?,"A short answer here, and I’ll likely get back to this for a longer one.

Parc had from the beginning some of the top people in AI, including Danny Bobrow, Terry Winograd (a consultant), Mark Stefik, John Seeley Brown, Richard Burton, Ira Goldstein, and ma"
How was the first computer system programmed before the advent of programming?,"There are two ideas here (a) “program” and (b) “computer”.

Programs have been around for a long time as directions to be read and carried out (early on just by humans). Heron of Alexandria (ca 30 AD) made a variety of mechanical devices that were control"
Is there a programming language that uses past and future tense?,"Some very confident (why?) answers here about “no, there aren’t programming languages with past tense”. Or “there isn’t any reason for such a thing”.

But take a look at Lucid, by Wadge and Ashcroft. Its variables are histories of the values, so the vario"
What did you think of How Did We Find Out About Computers by Isaac Asimov?,"I like Asimov, but this book doesn’t explain anything that would help a child learn how computers work — how to make them, program them, get them to do a few semi-intelligent things, etc."
"What is the story behind Alan Kay’s adage “Simple things should be simple, complex things should be possible”?","I think I came up with this slogan at Parc during discussions wrt children, end-users, user-interfaces, and programming languages. Chuck Thacker (the genius behind the Parc hardware) also liked it and adopted it as a principle for many of his projects.

S"
"As a software engineer, if you were the professor of an ""Introduction to Programming"" course at a college, what programming language would you choose to introduce newbies into the world of programming? Why?","For me, this question is out of the scope of a Quora answer.

I’m a full time researcher, but also an adjunct professor of “CS” at UCLA (which means I don’t have to go to faculty meetings, I can teach a class when I want to meet some students, and I can c"
Is the second best way to predict the future to fund it?,"Note that the *easiest* way to predict the future is to *prevent* it. Or do nothing. Then the future will be like the present and the past (as it was for hundreds of thousands of years after humans appeared on the planet).

And that the phrase “the best w"
"I saw the first half of 2001: A Space Odyssey, but it was annoyingly slow paced, and I didn't see the need for that ""Dawn of Man"" sequence. Is it worth watching the rest of the movie?","In Business, “the customer is always right” (this is why we buy/pay) — a large part of the process is to “find a desire and fill it”.

In Education “the learner is usually wrong” (this is why we learn) — a large part of the process is to help the students"
What aspects of Lisp influenced Smalltalk?,"I’ve written about this variously elsewhere: including in “The Early History of Smalltalk”, and I’ve emphasized especially that “the idea of Lisp” pervades the underpinnings of Smalltalk as it was developed at Xerox Parc.

For me, it was spending a Sunday"
What does Alan Kay think of the proposed 50th anniversary celebration of Smalltalk in 2022?,"I think especially celebrating Dan Ingalls would be a key point in a 50th anniversary celebration (if it weren’t for him, the various Smalltalks developed at Parc would not have happened).


Secondarily, I would celebrate Chuck Thacker, as the main design"
"Why did almost no one in the US know about Charles Babbage in the 1930s, as mentioned in the book The Dream Machine?","Alexis de Tocqueville wrote about Americans in the 1840s: “They have no past and no future, but live in an extended present”.

I think it’s quite fair to say about most Americans that History of almost any kind is very far from their main interests or pas"
Are modes a feature or a bug in interface design?,Quite a bit of early user interface design was done by the ARPA community starting in the early 60s — as an outgrowth of JCR Licklider’s vision: “It is the destiny of computers to become interactive intellectual amplifiers for all humanity pervasively net
Are there problems where a solution by symbolic computation (using only computer algebra regardless of difficulty or time required to solve them) is absolutely impossible that can only be solved with numerical methods? What are some examples?,"Many non-linear problems don’t have algebraic solutions, and numerical methods have been used starting long before computing machinery to help. For example, most orbital mechanics, perturbation problems, fluid dynamics, etc."
What are the most important elements of computing history not widely known by current CS graduates or working developers?,"I think this question is much too large for a Quora sized answer (in part because of a combination of a lack of curiosity in the field generally, and a general lack of emphasis on history in schooling).

Just to pick four here in no special order — and fr"
Is our capacity for problem solving limited by abstraction? (Particularly in Computer Science),"Marvin Minsky liked to say “You can’t teach calculus to a cat”. So, sure, it is extremely likely that there are problems (and solutions) we can’t understand or even see.

On the other hand, we already use what Jerome Bruner called “Goedelization” to great"
How do I make an AI program that learns?,"Here is a very simple but comprehensive example. You can see what is actually going on in the learning process for “conditioned learning”, and you can deeply learn how it works by making it. How would one explain AI to a complete beginner?"
Who developed idea of using vacuum tubes in computers?,"Take a look at the legendary Tommy Flowers, who was one of the earliest to make computing machines using vacuum tubes.Tommy Flowers - Wikipedia

(Prepend). It’s worth saying a few words about what came before. The “logic of true and false” was written abo"
How do programming language designers manage language complexity?,"A specific rather than general answer. For Smalltalk at Xerox Parc in the 70s, the approach was very Lisp-like: create a universal building block, implement that, and then deal with the complexities of designing and making “useful features” i.e. everythin"
How were computer programs and languages like COBOL installed into computers back in the 50s before software?,"There was always “software” for “programmable computers” because this was the reason such computers were made (my favorite “first” is Maurice Wilkes’ EDSAC in 1948 (the Manchester people would quibble a bit).

There would usually be a “bootstrap” sequence"
Was computing dumbed down by the arrival of computer science in academia?,"This is an interesting question! My first reaction was “absolutely not, just the opposite” … but this is the old fogey from the 60s reaction. This is because — pound for pound — by far the best “real computer science” * in the 60s was being done in the ma"
Does the Chinese Room prove that true artificial intelligence will never be developed?,"A less misleading situation is to ask whether there is something not “mechanical” — or something “intrinsically intelligent” — about atoms that accumulates into “intelligence” and “consciousness” when the atoms are formed into a human brain.

A little mor"
What is an interesting and usual historical computer architecture? Was it definitely a dead-end or could it possibly make a come-back?,"A really interesting “early architecture of great interest” was Wes Clark’s TX-2, the test computer at Lincoln Labs for the SAGE air defense system. This was also the machine that Ivan Sutherland used to invent a superset of modern computer graphics in 19"
Is computer program portability more important in today's mobile technology?,"I’ve always thought it was tremendously important in every era that I’ve been in computing. “Software wants to run on everything” — a huge percentage of computer people seem to bend over backwards to prevent this, but I think it’s a mistake."
Is it possible to program a word-processor or text-editor? How would I go about doing this?,"Do you mean to make one from scratch? (They all have been made from scratch originally — more can be made).

Do you mean to have a programmable word processor? (E.g. Emacs is a famous one, Microsoft Word used to be programmable — I don’t know if it still "
What thought process would lead one to invent object-oriented programming?,"(Per Paul Hudson: “Maybe Alan Kay would answer. Since he did!”)

Well, OK.

In 1992, I was asked to write a history of what I actually did by the ACM for their second “History Of Programming Languages” conference. There are several versions online, includ"
How do you see Linus' prediction failure of parallel computing?,"I’m not sure that he is predicting the failure of parallel computing. The context of the remarks seems tiny, and seems even limited to specific tiny contexts (for example using “locks” at all is a very bad way to try to deal with race conditions, etc.).

"
Which are the earliest real-time text editors?,"It would be great to track down a precision answer to this.

There were very early text editors in the 50s using various flexowriters, teletypes, and modified IBM electric typewriters.

On Whirldwind I, the Laning and Zwerler “George” interactive programm"
What bottlenecks need to be addressed in order for the real computer revolution to happen?,"I don’t think there is “one” real computer revolution, but the general premise that “it” or “these” haven’t happened yet does help pondering (and I also think that where things generally are today is so low compared to what could be done makes the phrase "
"If all knowledge of programming and computer science was to be gone, what 10 books/papers could restart the field and bring things back or make things better?","This question could be about a cold start to computing — no computers around at all — or it could be about “the computers and networks we now have are around, but no one knows how to program them”. Or something somewhere in between.

This makes a differen"
How many programmers were in the world in 1964?,"It would be great to find definitive answers. I just sent an email to Fred Brooks to get his opinion.

However, it is safe to say — for 1964 — thousands at least, and most likely 10s of 1000s.

This is partly because of where IBM had gotten to by 1964: th"
How could computers develop their own language and take over the Earth?,"Frederic Brown was a terrific science fiction writer in the 40s and 50s. He also loved to write “half-pagers”: entire sci-fi stories in a few hundred words. Here’s a favorite one from 1950:

Dwan Ev ceremoniously soldered the final connection with gold. T"
How do I reason that the Single Responsibility Principle (SRP) does not violate the spirit of the Open Closed Principle (OCP)?,"In theory, I don’t like this question, but in practice, I do.

But first a quote from Poincare: “Physicists talk about Physics, Sociologists talk about *methods*”.

He is trying to point out the real and large differences between a deeply developed field,"
Why is VSCode nearly 300 megabytes while Sublime Text is just 16 megabytes?,“Ouch!” on both the 300MB and the “just 16” … yikes!
What are some good examples of liberal arts points of view brought to computing?,"“Liberal arts points of view”?

Although I went to an “engineering” high school (“Brooklyn Technical HS”), I should have gone to “Bronx HS of Science” or “The High School of Music and Art”: the matchups are partly a matter of temperament. However, one of "
What is the relationship between performance and abstraction?,"This question needs more to it. For example, does the “abstraction” contain requirements for certain levels of performance? (as we’d expect if the abstraction is a “runnable requirements” language). If the result meets the requirements, then the relations"
How did drawing work on the Alto?,"Parc started up in 1970–1, coincidentally with the advent of the first VLSI chips: the 1103 dynamic RAM from Intel (all of 1024 bits, but in a much: smaller package, lower voltage, and lower cost than core memory). For the first time, just a few people co"
To what extent did Simula influence Smalltalk?,"To a large extent. Basically: Simula cannot be praised too highly — and along many dimensions.

I was asked to write a comprehensive history of Smalltalk for the ACM’s “History of Programming Languages” — called “The Early History Of Smalltalk”. This can "
What was the historical significance of FORTRAN?,"The historical significance of FORTRAN is primarily due to the level of software engineering in the system, but there was also a “four minute mile” effect from the combination of “early” and “efficient”.

An earlier significant system along the lines of “"
What are your favorite analogies to explain programming?,"I have sometimes used “creating a banquet” or “organizing a restaurant”.

The “following a recipe” analogy is included as a tiny part of the larger processes, but it doesn’t capture many of the important parts of programming, which involves design, organi"
Is it possible to learn two programming frameworks at the same time?,"In that galaxy long ago and far away (the 50s and early 60s) there were no standard operating systems, and most programming was done in assemblers that were symbolic representations of the underlying machine codes. And many “shops” had several computers o"
"Why do musical artists - even the best ones - lose their ability to write a memorable new melody, far before they lose the ability to sing or play?",For the same reason that it is much easier to read one’s own language than to write in it — especially to write beautifully.
Could the piano have more than 88 keys?,"Take a look at the Boesendorfer Imperial Grand. It has 9 extra keys in the bass that extend the compass down to a low C (so 97 keys).


Even more important is that Boesendorfers are wonderfully sounding instruments, with a very creamy french horns to flut"
How many of ARPA/PARC’s researchers were married while they did their breakthrough work?,"With regard to the computer researchers there, I’d say “quite a few” (I don’t know how to be more precise). And I would guess that the physical sciences researchers were even more so."
Can you explain AI to a novice?,"Many single-celled microorganisms are able to detect toxic conditions — temperature, acidity, etc. — and initiate a “tumbling” behavior that finds random directions that can move them away from the danger. Similarly, many can detect when “things are good”"
What did you think of the work being done at General Magic?,"I was “in the conversation” (along with John Sculley, etc.) when this project and then company was set up. Basically, the idea was to make a hand-held device that would embody something like the next levels of HyperCard as a cradle for many kinds of servi"
Why was Alan Kay's Smalltalk in the Xerox Alto sufficiently efficient for a desktop GUI in 1979 but it isn't sufficient today?,"The two answers by Eliot Miranda and Mark Miller are very good, so there is little to add here. But I should say a few words about the general Parc approach to HW architectures (and more can be found in other answers I’ve given).

First, though, is to com"
Why are we born into sin?,"Here’s an attempt at a non-religious answer.

We humans have many paradoxes that we deal with quite unevenly. For example, genetically we have urges to cooperate — we would not be social animals if we didn’t — and also to compete. We desire to be in a gro"
Why do Fender guitars have different headstocks than other guitars?,Just to introduce the concept that there were things happening before the near present … i.e. in the past. One of the first guitars to use an inline headstock was the Fabricatore ca 1806. The idea was used in many guitars by the top German builder of earl
Which programming language is best for developing a website that can scale to over 100 million users?,By the end of 2020 it is estimated that there will be about 50 billion computers connected via the Internet. How to invent such an architecture—and one that never has to be shut down for fixing and growing— was worked out by the ARPA-Parc research communi
What were the biggest mistakes made by Xerox?,"It’s worth noting that IBM had no idea about personal computing (they would never have farmed out the OS if they had taken it seriously), and didn’t know how to sustain their early success.

Nor did DEC.

Apple got the GUI, but not networking. And, Apple "
What happened to Dan Ingall's Smalltalk interpreters?,"I think quite a few of them are around and working in different forms. Dan has given talks showing live examples from almost all of the Smalltalks for which he was the main kernel force. Many of these talks are on YouTube.

Online, there are playable vers"
"What parts of Englebart's Augment/ARC work are still missing from modern groupware, and why are they important?","A direct answer here would be much larger than “Quora sized”. This is because Doug Engelbart’s conceptions were qualitatively different than most of the much tinier ideas and visions of today’s developers.

The wonderful Bret Victor wrote the best obituar"
What's arguably the single most amazing thing that computers have made possible?,"I think the answer to this is very like the answer to “what is the single most amazing thing that writing (and then the printing press) have made possible”.

It is not that writing and the press made possible a very different kind of travel through time a"
What is extensibility in object-oriented programming?,"Programming languages have appearances (“syntax”), meanings (“semantics”), and efficiencies (“pragmatics”). A really good “extensible language” will allow each of these to be extended (and in large ways when this is a good idea).

It’s worth noting that t"
Why do you need to use command prompt?,"There are a number of good end-user solutions using GUIs that lie between pure text command lines and highly graphical programming.

With respect to graphical programming, it’s important to note that Ivan Sutherland’s Sketchpad — my vote for the first rea"
"Which books should I read to learn about the stories and anecdotes which lead us to the ""modern"" computer science?",I think the 20 or 30 books I have read about this are far less than half the books published about the history of computing. Most of the ones I have read are flimsy and inaccurate. The easy part of this for me to check was that the books that featured inc
What does Alan Kay think of Dynamicland?,A terrific and beautiful world of ideas and experiences!
How usable was composition between widgets in Smalltalk 80 on the Xerox Alto? Could full applications be developed this way?,"The answers to each question are somewhat different. First, there weren’t really “applications” of the stove-piped variety people are used to today. Every object was encapsulated and could be a component of a system, and every object was viewable (and vie"
"Why were computers like the DEC PDP-10 called minicomputers, since they weren't really that small?","The PDP-10 was a “mainframe computer” and was not called a minicomputer. The PDP-8 was called a minicomputer, as were most of the early PDP-11s.

One angle on the name, which to some extent correlated with physical size was the “word size” of the machine."
How did humans discover how to make fire?,"We don’t know.

Most of the answers that speculate that fire from natural causes was carefully preserved long before making it was discovered are almost certainly correct.

The American Indians did this in a number of ways, and the practice was continued "
Is 60Hz not fast enough for a VR headset?,"There are a number of human vision characteristics that need to be handled really well to make VR a good matchup.

(1) Foveal vs Peripheral acuity - most of the acuity of a human eye is in the small foveal region of about 2x3°. We are pretty much legally "
"Why do people say that Ada Lovelace was the first programmer, when Babbage wrote the first programs for his own machine?","Goethe said “We should all share in the excitement of discovery without vain attempts to claim priority”. He meant not just “early” but any time an important idea is realized by a human being.

The pop cultures — and to some extent the more developed cult"
"What does Alan Kay think about Joe Armstrong claiming that ""Erlang might be the only object-oriented language"" and also his thesis supervisor’s claim that “Erlang is extremely object oriented”?","I love Joe Armstrong — we lost a great man when he recently left us.

And, he might be right. Erlang is much closer to the original ideas I had about “objects” and how to use them.

However, another way to look at this is to consider “What Is Actually Nee"
Who are the most influential people in the history of computing?,"I think there are too many for a fair account in a Quora sized answer, especially if we give credit to insights regardless of whether they were followed up.

I think of “computing” as processes that help one deal with ideas. And this covers a lot of groun"
Is traditional engineering becoming a pop culture due to the modern practice of software development?,"I don’t know, and I suspect not in the way that computing has been going.

Much of traditional engineering is life threatening unless done carefully and scrupulously, and most engineers really take their calling seriously.

For example, I think that most "
Is Archibald Putt a creation of Alan Kay?,Not this Alan Kay …
What are Alan Kay's views on automation and technological unemployment?,"I think the issues revolve around a society’s conception of itself, its main societal goals, and the tradeoffs between our genetic heritage, the traditional cultural views of “reality” and mores, and the more recent inventions that are more distinct from "
How and why did Xerox fail to capitalise on PARC's inventions?,"There are good enough answers under this Quora link (this is an example of a question that has already been asked and answered).

Why couldn't the management of Xerox see the goldmine that they had with inventions at Xerox PARC? Was it really about lackin"
What does Alan Kay think of the Tablon and similar portable practice devices (I carry mine with me almost everywhere)?,"Hi Lawson

About 6 or 7 years ago my left thumb base joint gave up the ghost (arthritis, bone spurs, loss of cartilage, etc) and I had to give up guitar. About a year ago I heard a wonderful lute player — Thomas Dunford —

and was so taken with his playin"
How can I help develop a wiki-Pharo? (Many people using and editing the same Pharo environment image in real time.),"I suggest you not worry about Pharo — or any other programming environment — but do ponder scaling, “number of cooks”, dependency, and coordination issues.

One of the ways to do this is to look at complex structures, both in nature (Biology) and human-ma"
"Rich Hickey, creator of Clojure has said that object-oriented programming is unable to model “time” properly. What does ""modeling time"" actually mean?","Most languages don’t model time — and worse, let the CPU determine what time means.

But the need for it, and a variety of solutions have been around for at least 60 years now.

Part of John McCarthy’s long ago insight (that after 60 years I wish computer"
"How can I learn more about the original spirit of computing (as alluded to by Alan Kay, et al.)?","I take “the original spirit of computing” to mean “for the fun and the art of it”, and the “art” part meaning to create better works of art at all levels, especially the foundational levels.

If we take “computing” as “manipulating information to satisfy "
"Experienced programmers and computer scientists, what are some really old (or even nearly forgotten) books you think every new programmer should read?","I love that “2006” and “2008” (in another answer) must be considered “really old” (which is what the question requests) …

I’m still a big fan of the “Lisp 1.5 Programmers Manual” (MIT Press — still in print). This version of the language is no longer wit"
What does Alan Kay think about tension between sharing research methods and findings freely and early & preserving commercial viability so the findings can be made into products that change the world?,"What do you think about the Internet? Etc.?

The question doesn’t really make sense as stated because sharing the best ideas freely creates the greatest opportunity for conversion into products, whether world changing or otherwise …

I.e. what “tension”?
"
"American computer pioneer Alan Kay’s concept, the Dynabook, was published in 1972. How come Steve Jobs and Apple iPad get the credit for tablet invention?","The Dynabook idea happened in 1968.


But the simple part of the idea — a personal computer on the back of a flat screen display with a stylus and touch sensitivity — is hard to consider a real invention given:

Flat-screen displays. I saw the first Unive"
"Who first came with the concept of Computer Mouse, XEROX or Apple?","There was an early electrically sensed joystick in the 20s — partly invented for “remote-control airplanes”.

1926 Joystick Remote Control Circuit Patent

NRL’s C.B. Mirick patented his system for remote radio control of pilotless aircraft (or of “any cir"
"In retrospect, what were some funny idiosyncrasies of older computers?","Besides crashing randomly?

One that was funny in retrospect came in 1965 when I and others from the “future CDC 6600 community” — Livermore Labs, Los Alamos, National Center for Atmospheric Research, etc. — were called to CDC’s Chippewa Falls labs to hel"
What did the early room sized super computers do? And how powerful are they relative to modern day computers?,"We could look at the AN/FSQ-7 — known as the “Q7” — which was the main computing architecture for the SAGE air defense system in the 50s.

It was actually two very large computers — comparable with a football field — where:

the computational elements occ"
How important was Ada Lovelace for computer science?,"This is a fascinating question about a “synthetic” or “artifactual” science (math is one of these also). This is a parallel to asking “how many times was the arch invented?”, and “for a particular arch e.g. in the Arc de Triomphe, would it have mattered i"
Were the compilers of the first programming languages written in machine code?,"I wonder if “machine code” here means “in on-or-off-bits” or “assembler”? And whether “programming languages” includes “assembler”?

In the case of a really bare machine with no reasonable way of using another computer to help, programmers would still wri"
Who created the computer?,"There have been similar questions on Quora, and I’ve given a variety of answers. (Which I’ll try to find and reference here (would be really usable if Quora used that strange invention of “windows” to allow this kind of perusal on this page while writing "
Why were computer monitors not rectangular to begin with?,"I’m not sure I understand this question. Do you mean “as opposed to being circular” or “as opposed to being square”? If you clarify your question I might be able to answer.

In brief, many of the earliest computer displays were made from Cathode Ray Tubes"
What is your hobby that has the best bang for the buck in happiness per dollar?,"I’ve never thought about hobbies in terms of cost — they are all about passion and “work/play” for the sheer fun of it. And my main ones are about “life itself” and non-optional. So the “happiness” part from these is enormously high.

I don’t know how to "
What is the oldest or most unique computer you have ever used?,"The “oldest” -or- “most unique” computer I’ve ever used? Let’s take “programmable digital computer” to simplify away from various kinds of analog computers and the abacus, and “written a program for” instead of “used”.

The “oldest” has two candidates (a)"
What was the last breakthrough in computer programming?,"There are lots of dimensions to “computer programming” and “programming languages”, so simple sorting won’t be satisfactory. But there is also a dilemma — I think — in that “something happened” in the 80s to what were major improvements every 11 years or "
"When Alan Kay talks about the size of the SAGE and the TX-2 computer, he uses the terms like ""the size of the football field"" and ""the size of a building"", what does it exactly mean?","Here’s an example of a SAGE four story concrete “blockhouse” with “power supply” in the first floor, the two large Q-7 vacuum tube computers on the second floor — they ran in tandem as one system, the “situation rooms” with enormous display projection equ"
What is it like to work at Disney as a programmer?,"I wasn’t a programmer there for the five years I spent at Disney — but the company had invited me to bring my research group to be part of Walt Disney Imagineering, and — partly because I knew and admired some of the old time Imagineers — we wound up maki"
"Why is the guitar ""easy to learn but difficult to master""?","The “difficult to master” part is common to all music because people who are deeply involved with music don’t just make it, they explore it, extend it, invent and reinvent it. Like sports, this pushes the boundaries towards human limits to the extent that"
What will Silicon Valley do once it runs out of Doug Engelbart's ideas?,"I’d like to see.

However, we are in no danger at present. Silicon Valley has more or less ignored or abandoned many of Doug’s best ideas, so they are still around to be rediscovered and put forth.

Right now we are also not in any close prospect to seein"
Which is the best book for teaching programming to kids (11 to 16 years)?,"The “best book” right now might not be good enough. I don’t know of a “really good” book for teaching programming to 11–16 years of age, but there might be one — I’d love to see what other Quorans think are good books.

A deep question here is “plasticity"
"What’s the difference between applicative, recursive, and imperative programming?","Programming is providing a mechanism with what’s needed to achieve a goal we have.

Sometimes the mechanism can be dealt with very directly. Sometimes things will work out better if we first get the mechanism to act like a more convenient mechanism that w"
Shouldn’t object-oriented “design” be studied before object-oriented “programming”? I’m sick and tired of these useless toy examples in these programming books. Why shouldn’t we learn to design first and then implement?,"I like Marvin Minsky’s solution to the problem of teaching programming (in this case teaching Lisp to grad students in the 60s). He would give them the previous year’s PhD theses and ask them to find how the thesis did something, and then make a change to"
Does Alan Kay think about how research into human biology and medicine is conducted?,"I’m not at all sure about the center of this question. Perhaps the questioner can clarify in a comment …. ?

At least at a shallow level, I would say “yes, I do”. However, I’m sure biologists consider me “lapsed” at this point (I certainly do, though I tr"
"What lessons were learned in aspiring towards the DynaBook, and have any of its original goals become dated?","A big subject over many years (the Dynabook idea was formed and fleshed out starting in 1968 with a cartoon I drew and a cardboard model I made — so more than 50 years ago now). The first public paper I wrote about this was in 1972.


The large idea that "
Will technological advancement continue as quickly as it has from the 2000s to now?,"The keyword here is “advancement”. I think of the most important use of this in phrases such as “advancing the human condition”, etc.

If we take the trouble to try to understand our own species — via anthropology and its spinoffs — then we can see that q"
What can I do to develop my explaining skills?,Answering Quora questions for which you are willing to do the necessary work is great practice.
Has a robot ever smoked?,I think the robot shown at the 1939 world’s fair (“Elecktro”?) smoked as part of the act. Yep.
